Company,WBA ID,Website,Corporate name,Headquarters,Region,Income group,Ownership,ISIN,Ticker,Stock market,Wiki Data ID,LEI,"""Home"" Transformation",Food & Agriculture,Decarbonisation and Energy,Nature,Digital,Financial,Urban,Social,WBA Industry,ISIC 4,ISIC Description,Revenue US$ m 2021,Revenue US$ m 2022,Revenue US$ m 2023,Employees 2021,Employees 2022,Employees 2023,Women employees (%) 2023,Women on the board (%) 2024,Water 2023 (ML),Waste 2023 (t),Scope 1+S2 LB million tCO2e 2021,Scope 1+2 LB milion tCO2e 2022,Scope 1+2 milion tCO2e LB 2023,Scope 3 million tCO2e 2021,Scope 3 All relevant categories 2021,Scope 3 million tCO2e 2022,Scope 3 All relevant categories 2022,Scope 3 million tCO2e 2023,Scope 3 All relevant categories 2023,SBTi 2023,SBTi 2024,Energy (MWh) 2021,Electricity (MWh) 2021,Renewable electricity (%) 2021,Energy (MWh) 2022,Electricity (MWh) 2022,Renewable electricity (%) 2022, Energy (MWh) 2023, Electricity (MWh) 2023,Renewable electricity (%) 2023,Fiscal year 2023 ending, Countries of operation reported by company, Calculated countries of operations, Significant countries of operation,Significance metric,Keystone Footprint metric,Latest value,Financial report 2023,ESG Report 2023,Financial link 2023,ESG link 2023
Dangote Industries,PT_00520,https://dangote.com,Dangote Industries,Nigeria,Sub-Saharan Africa,Lower middle income,Private,,,,,, Social,, ,  -   , , , , Yes, Conglomerates,6420, Activities of holding companies, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
First Quantum Minerals,PT_02242,https://first-quantum.com,First Quantum Minerals Ltd,Canada,North America,High income,Public, CA3359341052,,, Q1419532, 549300I7UVBGWRYMYZ18, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  7,212.00 ","  7,626.00 ","  6,456.00 ","  3,500.00 ","  19,809.00 ","  16,190.00 ",  12.0 ,  33.3 ,"  285,748.00 ","  381,128,263.00 ",  4.44 ,  -   ,  4.07 ,  1.43 ,  -   ,  1.43 , No,  2.96 , Yes,  -   , …,"  7,127,500.00 ","  2,909,722.22 ",  79.97 ,"  7,259,722.28 ","  2,934,444.47 ",  86.90 ,"  6,944,172.22 ","  2,882,780.08 ",  89.00 ,31-Dec-23,  17 ,  9 ,  -   ,  -   , , ,Annual Report,ENVIRONMENTAL SOCIAL AND GOVERNANCE REPORT 2023,https://s24.q4cdn.com/821689673/files/doc_downloads/2024/03/first-quantum-2023-annual-report.pdf,https://s24.q4cdn.com/821689673/files/doc_downloads/ESG/FINAL-2023-ESG-Report.pdf
CMOC,PT_02240,https://en.cmoc.com,CMOC Group Limited ,China,East Asia & Pacific,Upper middle income,Public, CNE100001NR0,03993, HKEX, Q5099785, 254900C9MTK20NOSAG32, Nature, , , Yes, , , , Yes, Metals & Mining,710, Mining of iron ores,"  26,955.04 ","  25,666.30 ","  26,309.18 ","  11,472.00 ","  12,754.00 ","  11,995.00 ", ...,  12.5 ,"  180,000.00 ","  381,051,000.00 ",  0.92 ,  1.32 ,  1.59 ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  3,800,000.00 ",  -   ,  -   ,"  4,230,000.00 ",  -   ,  63.20 ,"  5,800,000.00 ","  2,905,800.00 ",  73.30 ,31-Dec-23,  5 ,  4 ,  4 , Employees, Number of mines,  5 ,2023 ANNUAL REPORT,"2023 Environmental, Social and Governance Report",https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0425/2024042500972.pdf,https://en.cmoc.com/uploadfile/2024/0323/20240323020318888.pdf
Polyus,PT_02248,https://polyus.com,PJSC Poly,Russian Federation,Europe & Central Asia,Upper middle income,Public, RU000A0JNAA8,,, Q2005769, 549300FUXVT7TF6ZKV71, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  4,966 ","  4,257 ","  5,436 ","  20,385 ","  22,772 ","  19,669 ",  17.5 , Not found,"  31,100.00 ","  335,460,000.00 ",  1.43 ,  -   ,  -   ,  1.46 ,  -   ,  2.76 , No,  1.57 , Yes,  -   , …,"  3,106,944.00 ","  2,509,444.44 ",  100.00 ,"  2,705,555.58 ","  2,153,611.13 ",  100.00 ,"  6,385,282.89 ","  2,193,057.31 ",  100.00 ,31-Dec-23,  1 ,  1 ,  1 , Employees, , ,Annual Report,ESG DATAPACK 2023,https://polyus.com/upload/iblock/7b9/polyus-go-2023-2307-dlya-sayta.pdf,https://sustainability.polyus.com/upload/files/esg-data-and-reports/ESG_Data_2023_2207.xlsx
Newmont ,PT_02127,https://newmont.com,Newmont Corporation,United States,North America,High income,Public, US6516391066,,, Q1785405, 549300VSP3RIX7FGDZ51, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  12,222 ","  11,915 ","  11,812 ","  14,624 ","  14,731 ","  21,700 ",  16.0 ,  41.7 ,"  173,121.00 ","  331,228,144.18 ",  3.39 ,  3.13 ,  2.73 ,  5.91 ,  -   ,  5.12 , Yes,  4.78 , Yes, Targets Set, Targets Set,"  10,858,853.41 ","  4,202,376.11 ",  22.63 ,"  10,652,628.17 ","  4,070,929.24 ",  23.90 ,"  9,369,127.50 ","  3,454,681.38 ",  28.00 ,31-Dec-23,  9 ,  9 ,  9 , Employees, Number of mines,  19 ,2023 ANNUAL REPORT,PERFORMANCE DATA,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001164727/7425252c-e644-43fa-b701-a73f4ed9fb3f.pdf,https://s24.q4cdn.com/382246808/files/doc_downloads/2023/sustainability/newmont-2023-Performance-Data.pdf
E Fund Management,PT_00586,https://www.efunds.com.cn,"E Fund Management Co., Limited",China,East Asia & Pacific,Upper middle income,Private, CNE100001NS8,,, Q114019944, 300300BYODWV44Q29D93, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ...,  0.13 , ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  2 , ,  -   ,  -   , , ,2023 Annual Report, ,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0430/2024043001701.pdf, 
Kinross Gold,PT_02203,https://www.kinross.com,Kinross Gold,Canada,North America,High income,Public, CA4969024047,,, Q546880, 549300UEBMAQDN0K0R06, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  3,729 ","  3,455 ","  4,240 ","  8,812 ","  6,397 ","  6,599 ",  14.0 ,  30.0 ,"  81,932.30 ","  310,988,483.80 ",  1.67 ,  1.45 ,  1.39 ,  0.11 ,  -   ,  2.28 , Yes,  1.32 , Yes,  -   , …,"  6,077,427.64 ","  1,762,454.02 ",  52.00 ,"  59,255,003.52 ","  1,930,475.99 ",  63.15 ,"  5,666,614.00 ","  2,008,666.00 ",  66.00 ,31-Dec-23,  8 ,  5 ,  5 , Employees, , ,2023 ANNUAL REPORT,2023 SUSTAINABILITY REPORT,https://s2.q4cdn.com/496390694/files/doc_financials/2023/ar/2023-annual-report-low-res.pdf,https://s2.q4cdn.com/496390694/files/doc_downloads/sustainability/2024/Kinross-Gold-2023-Sustainabillity-Report-Final.pdf
ECARU,PT_02709,https://ecaru.net,Egyptian Company for Solid Waste Recycling,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Private,,,,,, Urban, , , , , , Yes, Yes, Waste Management,3811, Collection of non-hazardous waste, ..., ..., ...,  -   ,  -   ,  , ...,  -   ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
EGPC,PT_00608,http://www.egpc.com.eg,Egyptian General Petroleum Corporation,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Government,,,, Q1299177,, Climate, , Yes,  -   , , , , Yes, Oil & Gas,610, Extraction of crude petroleum, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Egyptian Holding Company for Water & Waste Water,PT_02610,https://www.hcww.com.eg,Holding Company for Water & Waste Water,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Government,,,,,, Urban, , , , , , Yes, Yes, Utilities,3600," Water collection, treatment and supply", ..., ..., ...,  -   ,  -   ,  , ...,  -   ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , Number of customers served,"  37,900,000 ",, ,, 
Eko Development,PT_02687,https://eko-development.com,Eko Development Company Limited,Nigeria,Sub-Saharan Africa,Lower middle income,Private,,,,,, Urban, , , , , , Yes, Yes, Real Estate,6810, Real estate activities with own or leased property, ..., ..., ...,  -   ,  -   ,  , ..., Not found,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Empresa ICA,PT_02712,https://ica.com.mx,"Grupo ICA, S.A. de C.V.",Mexico,Latin America & Caribbean,Upper middle income,Private,,,, Q590897,, Urban, , , , , , Yes, Yes, Construction & Engineering,4100, Construction of buildings, ..., ..., ...,  -   ,  -   ,  , ...,  20.0 ,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, , ,  -   , , ,, ,, 
EPAL,PT_02471,http://www.epal.co.ao,Empresa Publica De Aguas de Luanda,Angola,Sub-Saharan Africa,Lower middle income,Government,,,,,, Urban, , , , , , Yes, Yes, Utilities,3600," Water collection, treatment and supply", ..., ..., ..., ..., ...,  , ...,  37.5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Ethiopian Electric Utility,PT_02835,http://www.ethiopianelectricutility.gov.et/,Ethiopian Electric Utility,Ethiopia,Sub-Saharan Africa,Low income,Government,,,,,, Urban,,,  -   ,,, Yes, Yes, Utilities,3510," Electric power generation, transmission and distribution", ..., ..., ..., ..., ...,  , ..., ...,  -   ,  -   , ,  -   ,  -   , , ,  -   ,  -   ,  -   , NA,  -   , …, , ,,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  1 , ,  -   ,  -   , , ,, ,, 
Mosaic,PT_01201,https://www.mosaicco.com,Mosaic Co,United States,North America,High income,Public, US61945C1036,,, Q7752327, 2YD5STGSJNMUB7H76907, FAB, Yes, , Yes, , , , Yes, Chemicals,2012, Manufacture of fertilizers and nitrogen compounds,"  12,357 ","  19,125 ","  13,696 ","  11,738 ","  13,570 ","  14,049 ",  17.1 ,  30.0 ,"  298,702.00 ","  274,522,591.00 ",  4.53 ,  4.30 ,  4.66 ,  9.48 ,  -   ,  -   , No,  12.11 , Yes,  -   , …,"  33,916,693.80 ","  1,711,115.83 ",  -   ,"  33,138,915.40 ",  -   ,  -   ,"  32,222,248.00 ","  4,930,559.50 ",  -   ,31-Dec-23,, ,  -   ,  -   , , ,FORM 10-K,Sustainability Disclosure,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001285785/555393c6-bb45-44ba-9f0b-259b735e8d1b.pdf,https://mosaicco.com/fileLibrary/publicFiles/0-2023-Sustainability-Disclosure-and-GRI.pdf
BHP,PT_00251,https://www.bhp.com,BHP Group Limited,Australia,East Asia & Pacific,High income,Public, AU000000BHP4,,, Q625713, WZE1WSENV6JSZFK0JC28, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  56,921.00 ","  65,098.00 ","  53,817.00 ",  -   ,  -   ,"  42,319.00 ",  35.2 ,  45.5 ,"  408,540.00 ","  210,378,000.00 ",  15.10 ,  12.20 ,  11.80 ,  400.10 ,  -   ,  -   ,  -   ,  370.50 , Yes,  -   , …,"  43,055,555.56 ","  10,277,777.78 ",  1.00 ,  -   ,  -   ,  -   ,"  38,138,919.40 ","  10,611,119.60 ",  67.00 ,30-Jun-23,  16 ,  16 ,  16 , Employees, Number of mines,  12 ,Annual Report 2023,BHP ESG Standards and Databook 2023,https://www.bhp.com/-/media/documents/investors/annual-reports/2023/230822_bhpannualreport2023.pdf,https://www.bhp.com/-/media/documents/investors/annual-reports/2023/230822_esgstandardsanddatabook2023.xlsx
Federation of National Public Service Personnel Mutual Aid Associations,PT_02061,https://www.kkr.or.jp/,Federation of National Public Service Personnel Mutual Aid Associations,Japan,East Asia & Pacific,High income,Government,,,, Q11420733, 3538002G9YP43B6JFN61, FSB, , , , , Yes, , Yes, Pension Funds,6530, Pension funding, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Geode Capital Management,PT_00743,https://www.geodecapital.com,"Geode Capital Management, LLC",United States,North America,High income,Private,,,, Q105773164, 549300R46G1X232ODH36, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ..., ..., ..., ...,  , ...,  22.2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Solidcore Resources,PT_02209,https://www.solidcore-resources.com,Solidcore Resources plc ,Kazakhstan,Europe & Central Asia,Upper middle income,Public, JE00B6T5S470,,, Q2380266, 213800JKJ5HJWYS4GR61, Nature, , , Yes, , , , Yes, Metals & Mining,710, Mining of iron ores,"  2,890 ","  2,801 ","  3,025 ","  13,392 ","  14,694 ","  15,562 ",  21.0 ,  28.6 ,"  13,611.00 ","  201,183,412.00 ",  1.30 ,  1.30 ,  0.99 ,  0.55 ,  -   ,  0.59 , No,  0.61 , Yes, Committed, Committed,"  2,764,856.66 ","  923,794.91 ",  18.00 ,"  2,988,024.89 ","  1,017,882.48 ",  30.00 ,"  2,985,484.89 ","  1,041,011.11 ",  18.97 ,31-Dec-23,  1 ,  1 ,  1 , Employees, , ,Integrated Report,Integrated Report,https://cdn.solidcore-resources.com/upload/ib/565340/Polymetal_integrated-report-2023-eng.pdf,https://cdn.solidcore-resources.com/upload/ib/565340/Polymetal_integrated-report-2023-eng.pdf
Grupo Roggio,PT_02316,https://www.roggio.com.ar,Grupo Roggio,Argentina,Latin America & Caribbean,Upper middle income,Private,,,, Q115540823,, Urban, , , , , , Yes, Yes, Conglomerates,6420, Activities of holding companies, ..., ..., ...,"  15,000.00 ", ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, , ,  -   , , ,, ,, 
AngloGold Ashanti,PT_02238,https://www.anglogoldashanti.com,Anglogold Ashanti Ltd.,South Africa,Sub-Saharan Africa,Upper middle income,Public, ZAE000043485,,, Q541076, 378900EF3BA9A5F42A59, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  4,029.00 ","  4,501.00 ","  4,582.00 ","  14,177.00 ","  13,995.00 ","  13,352.00 ",  11.4 ,  25.0 ,"  29,932.00 ","  198,440,302.00 ",  1.38 ,  1.47 ,  1.47 ,  0.81 ,  -   ,  0.86 , Yes,  0.85 , Yes,  -   , …,"  6,122,227.12 ",  -   ,  -   ,"  6,316,666.72 ","  805,555.56 ",  45.52 ,"  6,285,000.00 ","  872,222.22 ",  47.77 ,31-Dec-23,  9 ,  11 ,  7 , Employees, Number of mines,  9 ,Annual Report,ESG Data Workbook,https://reports.anglogoldashanti.com/23/wp-content/uploads/2024/04/AGA-AR23.pdf,https://thevault.exchange/wp-json/the-vault/v1/c/Z3JvdXBfaWQ9MTQzJmNsaWNrX3VybD1odHRwcyUzQSUyRiUyRnJlcG9ydHMuYW5nbG9nb2xkYXNoYW50aS5jb20lMkYyMyUyRndwLWNvbnRlbnQlMkZ1cGxvYWRzJTJGMjAyNCUyRjA0JTJGQUdBLUVTR0QyMy54bHN4Jmhhc2g9YkZCT1NVdDVVVzlzUjBabFdHTkVjWFIzVWpkNkwxVmxjalI2ZFhGU05FdFlSRkptZEM5eGVIUktUbEpuV205b01WZFJZbkpIYzFwM2NEVkdVREkwS3pOUFJFcE9TMU5ZWlZwdVpURnZXVEUwSzFaRFkxWTNaM0oyYWpkc05tVndPVzVIUVhKck5YVlROVk54V2poUk0wdzJjMWRwZUVndlFsbGhRWFp1YVVzPQ==
Guggenheim Partners,PT_00807,https://www.guggenheiminvestments.com,Guggenheim Strategic Opportunities Fund,United States,North America,High income,Private,,,, Q5615206, 549300ZOXRKM68J8NB63, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Harvest Fund Management,PT_00822,http://www.jsfund.cn,Harvest Fund Management,China,East Asia & Pacific,Upper middle income,Private,,,, Q19840170, 300300E2002231000037, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  3 , ,  -   ,  -   , , ,, ,, 
Indian Railways,PT_00895,https://indianrailways.gov.in,Indian Railways,India,South Asia,Lower middle income,Government,,,, Q819425,, Climate, , Yes, , , , , Yes, Passenger Transport,4911," Passenger rail transport, interurban","  25,866.68 ", ..., ...,"  1,212,882.00 ","  1,212,882.00 ","  1,218,221.00 ", ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , Passengers per year,"  3,519,000,000 ",, ,, 
OCP,PT_01325,https://www.ocpgroup.ma,OCP Group,Morocco,Middle East & North Africa,Lower middle income,Government,,,, Q501605,, FAB, Yes, , Yes, , , , Yes, Chemicals,2012, Manufacture of fertilizers and nitrogen compounds,"  9,377 ","  11,277 ","  9,011 ","  17,961 ","  17,582 ","  17,342 ",  9.3 ,  22.2 ,"  1,671,728.00 ","  187,967,362.00 ",  3.80 ,  3.36 ,  3.24 ,  16.07 ,  -   ,  17.85 , No,  16.76 , Yes, Target Set, Targets Set,"  7,989,776.28 ","  4,275,499.73 ",  87.00 ,"  6,860,852.83 ","  759,533.34 ",  87.00 ,"  6,518,680.22 ","  3,809,816.94 ",  85.46 ,31-Dec-23,,  25 ,  -   ,  -   , , ,CONSOLIDATED FINANCIAL STATEMENTS,Sustainability Report,https://ocpsiteprodsa.blob.core.windows.net/media/2024-04/OCP%20FY%202023%20Consolidated%20Financial%20Statements.pdf,https://ocpsiteprodsa.blob.core.windows.net/media/2024-07/OCP_Sustainbility_Report_2023_1.pdf
Japan Pension Fund Association,PT_00950,https://www.pfa.or.jp,Japan Pension Fund Association,Japan,East Asia & Pacific,High income,Government,,,,, 353800K3SK5NZI3JPV03, FSB, , , , , Yes, , Yes, Pension Funds,6530, Pension funding, ..., ..., ..., ..., ...,  , ..., ...,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
JiuQuan Iron and Steel Group,PT_00968,https://jiscojude.com,"Jiuquan Iron and Steel (Group) Co., Ltd (JISCO)",China,East Asia & Pacific,Upper middle income,Government,,,, Q17038496, 3003001I52LIMQ10IZ68, Climate, , Yes,  -   , , , , Yes, Metals & Mining,2410, Manufacture of basic iron and steel, ..., ..., ..., ..., ...,  , ...,  11.1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,  2 , , ,  -   , , ,, ,, 
Severstal,PT_01567,https://severstal.com,Severstal,Russian Federation,Europe & Central Asia,Upper middle income,Public, RU0009046510,,, Q638448, 213800OKDPTV6K4ONO53, Climate, , Yes, Yes, , , , Yes, Metals & Mining,2410, Manufacture of basic iron and steel,"  11,638 ", ...,"  8,732 ","  53,832 ","  49,800 ","  46,113 ",  28.0 , ...,"  69,563.00 ","  183,300,000.00 ",  30.63 ,  -   ,  25.78 ,  14.08 ,  -   ,  12.47 , Yes,  13.17 , Yes,  -   , …,"  6,758,000.00 ",  -   ,  -   ,"  6,463,000.00 ",  -   ,  -   ,"  93,845,075.08 ","  8,647,784.70 ",  -   ,31-Dec-23,  1 , , ,  -   , , ,Sustainability Report,Sustainability Report,https://severstal.com/upload/iblock/4a7/dmrpdfqi62hmdvnv41ejzlumlhwhvg7f/Severstal_Sustainability_Report_Eng_2023.pdf,https://severstal.com/upload/iblock/4a7/dmrpdfqi62hmdvnv41ejzlumlhwhvg7f/Severstal_Sustainability_Report_Eng_2023.pdf
Kleiner Perkins Caufield & Byers,PT_01013,https://www.kleinerperkins.com,Kleiner Perkins Caufield & Byers,United States,North America,High income,Private,,,, Q4346838,, FSB, , , , , Yes, , Yes, Alternative Asset Managers,6499," Other financial service activities, except insurance and pension funding activities, n.e.c.", ..., ..., ..., ..., ...,  , ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Nornickel,PT_01298,https://www.nornickel.com,Norilsk Nickel,Russian Federation,Europe & Central Asia,Upper middle income,Public, RU0007288411,,, Q1284261, 253400JPTEEW143W3E47, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  17,852 ","  16,876 ","  14,409 ","  73,557 ","  82,196 ","  82,052 ",  29.7 ,  30.8 ,"  315,000.00 ","  176,894,400.00 ",  10.31 ,  -   ,  9.70 ,  3.11 ,  -   ,  5.64 , No,  6.40 , Yes,  -   , …,"  43,538,333.33 ","  8,468,333.10 ",  47.00 ,"  41,693,889.22 ","  6,590,000.00 ",  51.00 ,"  39,843,087.43 ","  1,745,834.73 ",  -   ,31-Dec-23,  1 , ,  1 ,  -   , Number of mines,  5 ,Annual Report 2023,SUSTAINABILITY REPORT 2023,https://nornickel.com/upload/iblock/df7/rlleb3iah6rjqisrtsre09tbaw3w7hwt/2023-Annual-Report-of-PJSC-MMC-Norilsk-Nickel.pdf,https://nornickel.com/upload/iblock/d9d/4aq6vca4fucon1gfl2t2bcltyt6fl4is/nn_cso_2023_eng.pdf
Jiangxi Copper,PT_00961,http://en.jxcc.com,Jiangxi Copper Company Limited,China,East Asia & Pacific,Upper middle income,Public, CNE0000019P0,00358, HKEX, Q1518015, 300300PX1MUDCH4K1N18, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  68,467 ","  70,978 ","  73,494 ","  26,166 ","  25,051 ","  26,066 ",  15.1 ,  -   ,"  959,798.70 ","  170,855,100.00 ",  2.17 ,  -   ,  2.29 ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,"  4,745,915.46 ","  350,440.00 ",  -   ,"  4,747,473.89 ","  3,545,028.08 ",  -   ,"  4,639,172.63 ","  3,525,647.38 ",  -   ,31-Dec-23,  3 ,  2 ,  -   ,  -   , Number of mines,  6 ,2023 Annual Report,"Environmental, Social and Governance Report 2023",http://en.jxcc.com/uploadFiles/file/20240430/1b4844e8047749608b981857fb032915.pdf,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0327/2024032703141.pdf
Kuwait Investment Authority,PT_01037,https://www.kia.gov.kw,Kuwait Investment Authority,Kuwait,Middle East & North Africa,High income,Government,,,, Q1794766, 549300SRN3UJUIF3IN02, FSB, , , , , Yes, , Yes, Sovereign Wealth Funds,8411, General public administration activities, ..., ..., ..., ..., ...,  , ...,  12.5 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Mesirow Financial,PT_01157,https://www.mesirow.com,"Mesirow Financial Holdings, Inc.",United States,North America,High income,Private,,,, Q6821336, 984500F687AD2987EC68, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ..., ..., ..., ...,  , ...,  13.3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
Harmony Gold,PT_02376,https://www.har.co.za,Harmony Gold Mining Co. Ltd.,South Africa,Sub-Saharan Africa,Upper middle income,Public, ZAE000015228,,, Q1507228, 378900986D05F0C29811, Nature, , , Yes, , , , Yes, Metals & Mining,729, Mining of other non-ferrous metal ores,"  2,823.61 ","  3,011.92 ","  2,670.73 ","  48,113.00 ","  34,913.00 ","  34,913.00 ", ...,  25.0 ,"  29,350.00 ","  165,049,548.00 ",  4.39 ,  -   ,  4.45 ,  0.87 ,  -   ,  1.00 , No,  1.00 , No, Targets Set, Targets Set,"  4,631,000.00 ","  4,123,000.00 ",  2.70 ,"  4,861,000.00 ","  4,111,000.00 ",  0.87 ,"  4,861,000.00 ","  4,111,000.00 ",  0.87 ,30-Jun-23,  3 ,  3 ,  3 , Employees, , ,FINANCIAL REPORT,ESG DATA,https://www.har.co.za/23/download/HAR-FR23.pdf,https://www.har.co.za/23/download/HAR-ESGDATA23.pdf
Mirae Asset Financial Group,PT_01178,https://global.miraeasset.com,Mirae Asset Financial Group,"Korea, Rep.",East Asia & Pacific,High income,Private, KR7085620003,,, Q6872554,, FSB, , , , , Yes, , Yes, Traditional Asset Managers,6630, Fund management activities, ..., ..., ...,"  11,860.00 ","  12,578.00 ","  12,572.00 ", ..., Not found,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   , No,  -   , NA,  -   , …,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,, ,  -   ,  -   , , ,, ,, 
